locus	samples	reason
Dvit1	1	FLANK_ASSEMBLY_CYCLIC
Dvit1	1	FLANK_INDEL_FRAC
Dvit1	1	NO_READS
Dvit1	17	PASS
Dvit1	5	QUALITY
Dvit1	6	STUTTER_FRACTION
Dvit2	1	NO_READS
Dvit2	17	PASS
Dvit2	5	QUALITY
Dvit2	8	STUTTER_FRACTION
Dvit3	6	FLANK_ASSEMBLY_INDEL
Dvit3	2	NO_READS
Dvit3	16	PASS
Dvit3	6	QUALITY
Dvit3	1	STUTTER_FRACTION
Dvit4	21	FLANK_ASSEMBLY_INDEL
Dvit4	4	FLANK_INDEL_FRAC
Dvit4	3	NO_READS
Dvit4	3	PASS
Dvit5	5	FLANK_INDEL_FRAC
Dvit5	5	NO_READS
Dvit5	20	QUALITY
Dvit5	1	STUTTER_FRACTION
Dvit6	1	FLANK_ASSEMBLY_CYCLIC
Dvit6	1	FLANK_INDEL_FRAC
Dvit6	2	NO_READS
Dvit6	15	PASS
Dvit6	9	QUALITY
Dvit6	3	STUTTER_FRACTION
DVSSR3	1	FLANK_ASSEMBLY_CYCLIC
DVSSR3	5	FLANK_INDEL_FRAC
DVSSR3	1	NO_READS
DVSSR3	8	PASS
DVSSR3	8	QUALITY
DVSSR3	8	STUTTER_FRACTION
DVSSR4	2	NO_READS
DVSSR4	18	PASS
DVSSR4	7	QUALITY
DVSSR4	4	STUTTER_FRACTION
