locus	samples	reason
Dvit1	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	QUALITY
Dvit1	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	FLANK_ASSEMBLY_CYCLIC
Dvit1	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	PASS
Dvit1	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	PASS
Dvit1	SRR10418406_West_Virginia_USA	STUTTER_FRACTION
Dvit1	SRR10418407_Virginia_2_USA	QUALITY
Dvit1	SRR10418408_Virginia_1_USA	QUALITY
Dvit1	SRR10418409_Pennsylvania_USA	QUALITY
Dvit1	SRR10418410_New_York_USA	STUTTER_FRACTION
Dvit1	SRR10418411_Illinois_USA	PASS
Dvit1	SRR10418412_Wisconsin_USA	STUTTER_FRACTION
Dvit1	SRR10418413_Arizona_USA	NO_READS
Dvit1	SRR10418414_Australia	QUALITY
Dvit1	SRR10418415_Uruguay	PASS
Dvit1	SRR10418416_Armenia	STUTTER_FRACTION
Dvit1	SRR10418417_Romania	STUTTER_FRACTION
Dvit1	SRR10418418_Austria	FLANK_INDEL_FRAC
Dvit1	SRR10418419_Palatinat_Germany	PASS
Dvit1	SRR10418420_south-west_France	STUTTER_FRACTION
Dvit1	SRR10418421_Massasuchetts_USA	PASS
Dvit1	SRR10418422_Washington_USA	PASS
Dvit1	SRR10418423_California_USA	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv10g20vaitc8155	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv14g38vaitc8157	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv15g1vaitc8151	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv18g4vaitc8152	QUALITY
Dvit2	HGMFWDSXY_Y21S0015-dv21g19vaitc8154	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv22g19vaitc8154	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv25g30vaitc8156	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv26g30vaitc8156	STUTTER_FRACTION
Dvit2	HGMFWDSXY_Y21S0015-dv27g38vaitc8157	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv2g1vaitc8151	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv5g7vaitc8153	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv6g7vaitc8153	PASS
Dvit2	HGMFWDSXY_Y21S0015-dv9g20vaitc8155	PASS
Dvit2	SRR10418406_West_Virginia_USA	STUTTER_FRACTION
Dvit2	SRR10418407_Virginia_2_USA	PASS
Dvit2	SRR10418408_Virginia_1_USA	PASS
